Title,GivenName,EmailAddress,CCType,CCNumber,Age,Occupation,TelephoneNumber,City,LoanAmount,Term,YearlyIncome,Status
Mrs.,Terry,TerryRMiller@superrito.com,Visa,4.54E+15,,Management accountant,035756 57 19,Hosena,1996,15,97658,Business Exception : Age is blank.
Mrs.,Edna,EdnaBParsons@gustr.com,Visa,4.72E+15,,Critical care nurse,06821 30 22 93,Neunkirchen,66531,10,94648,Business Exception : Age is blank.
Ms.,Amanda,AmandaAGooden@jourrapide.com,MasterCard,5.16E+15,12,Camp counselor,04741 55 30 39,Cappel,,13,40446,Business Exception : Loan amount is blank.
Mrs.,Holly,,MasterCard,5.32E+15,12,Medical equipment repairer,07531 64 39 86,Konstanz Allmannsdorf,78464,11,99550,Business Exception : Email address is blank.
Mr.,Chester,,Visa,4.54E+15,12,Ticket clerk,05193 26 21 83,Schneverdingen,129640,1,1901,Business Exception : Email address is blank.
Mr.,Robert,,Visa,4.49E+15,14,Payroll representative,06504 31 34 67,Thalfang,54424,14,40556,Business Exception : Email address is blank.
Mr.,Gregory,,Visa,4.56E+15,15,Private investigator,09209 30 83 15,Emtmannsberg,95517,14,74797,Business Exception : Email address is blank.
Mr.,Sheldon,,Visa,4.93E+15,15,Addictions nurse,08557 78 76 38,Mauth,994151,14,1073,Business Exception : Email address is blank.
Ms.,Peggy,,Visa,4.93E+15,15,Adjuster,06244 97 84 32,Gundersheim,67598,13,76252,Business Exception : Email address is blank.
Mr.,Eric,EricLSmith@dayrep.com,MasterCard,5.29E+15,15,Urology nurse,04323 11 19 33,Damsdorf,,13,52739,Business Exception : Loan amount is blank.
Mr.,Jesus,JesusTEdwards@dayrep.com,MasterCard,5.60E+15,15,Limousine driver,02676 74 54 76,Utzerath,,11,60932,Business Exception : Loan amount is blank.
Mrs.,Narcisa,NarcisaWChrisman@superrito.com,MasterCard,5.58E+15,15,Office support secretary,07709 92 83 95,Wutach,79879,10,59996,Business Exception : Age is not valid.
Ms.,Lori,LoriJSaavedra@teleworm.us,MasterCard,5.40E+15,15,Semiconductor assembler,089 94 19 46,Gräfelfing,82157,9,68677,Business Exception : Loan term is not valid.
Mrs.,Jan,JanJWhitlatch@superrito.com,MasterCard,5.55E+15,15,Concrete paving machine operator,09393 64 39 91,Rothenfels,97851,9,20891,Business Exception : Loan term is not valid.
Mr.,Charles,,MasterCard,5.14E+15,15,Ordnance handling expert,0931 57 44 39,Würzburg,97045,8,61573,Business Exception : Email address is blank.
Mr.,Curtis,,MasterCard,5.17E+15,15,Sheet metal worker,0931 75 44 08,Würzburg,97012,7,34472,Business Exception : Email address is blank.
Mr.,Gabriel,,MasterCard,5.18E+15,15,Local truck driver,08303 58 97 09,Sulzberg,87477,7,54659,Business Exception : Email address is blank.
Mrs.,Frances,FrancesFBeauchamp@teleworm.us,MasterCard,5.21E+15,15,Immigration inspector,07231 13 67 05,Pforzheim Nordoststadt,75175,5,35515,Business Exception : Age is not valid.
Mr.,Kenneth,KennethVLockard@dayrep.com,Visa,4.54E+15,45,General maintenance and repair worker,02684 56 92 66,Raubach,156316,5,3314,Business Exception : Loan amount is not valid.
Mrs.,Ethel,EthelFSchrecengost@einrot.com,Visa,4.53E+15,32,Building inspector,07522 14 62 51,Hergatz,88145,1,89789, 681650bdfe7a69004a4a92e9 
Mr.,Jeremy,JeremyJLangham@jourrapide.com,MasterCard,5.52E+15,45,U.S. deputy marshal,0911 70 12 89,Nürnberg,90227,1,99158, 681650c5fe7a69004a4a92ea 
